gene	transcript	n_transcript	n_gene
ODAPH	NM_001257072.1,NM_001206981.2,NM_178497.4,NR_046430.2,NR_046429.2	5	1
CDKL2	NM_003948.5,NM_001330724.2	2	1
G3BP2	NM_203505.2,NM_203504.2,NM_012297.4	3	1
USO1	NM_003715.3,NM_001290049.1	2	1
NAAA	NM_001042402.2,NM_014435.4,NM_001363719.2	3	1
SDAD1	NM_001288983.1,NM_001288984.1,NM_018115.4	3	1
ART3	NM_001130017.2,NM_001130016.2,NM_001179.5	3	1
CXCL11	NM_005409.5,NM_001302123.2	2	1
NUP54	NR_103782.1,NR_103781.1,NR_103780.1,NM_001278603.1,NM_017426.4	5	1
SCARB2	NM_005506.4,NM_001204255.2	2	1
FAM47E+FAM47E-STBD1+STBD1	NM_001242936.1,NM_001242939.1,NM_001136570.3,NM_003943.4	4	3
SEPTIN11	NM_018243.4,NM_001306147.2	2	1
CCNI	NM_006835.3,NM_001348136.1,NM_001348138.1,NM_001348135.1,NM_001348132.1,NM_001348139.1,NM_001348140.1,NM_001348137.1,NM_001348133.1,NM_001348134.1	10	1
CXCL13	NM_006419.2,NM_001371558.1	2	1
CNOT6L	NM_001365007.1,NM_001365006.1,NM_144571.3,NM_001286790.2	4	1
FRAS1	NM_025074.7,NM_001166133.1	2	1
LINC01094	NR_038304.1,NR_038308.1,NR_038303.1,NR_038307.1,NR_038306.1,NR_038305.1	6	1
BMP2K	NM_017593.4,NM_198892.1	2	1
PAQR3	NR_146465.2,NM_001350106.2,NM_001040202.2,NR_146462.2,NR_146463.2,NM_001350105.2,NR_146464.2	7	1
ANTXR2	NM_058172.6,NM_001286780.2,NM_001286781.2,NM_001145794.1	4	1
PRDM8	NM_020226.3,NM_001099403.2	2	1
FGF5	NM_033143.2,NM_004464.3,NM_001291812.1	3	1
CFAP299	NM_152770.2,NM_001206997.1	2	1
PRKG2	NM_001282482.1,NM_006259.2,NM_001282483.1,NM_001282481.1,NM_001282480.1,NM_001363401.2,NM_001282485.2	7	1
RASGEF1B	NM_001300736.2,NM_152545.3,NM_001300735.2	3	1
HNRNPD	NM_031370.3,NM_001003810.1,NM_002138.3,NM_031369.2	4	1
HNRNPDL	NR_003249.2,NM_001207000.1,NM_031372.3	3	1
ENOPH1	NM_021204.5,NR_120457.2,NM_001292017.2	3	1
TMEM150C	NM_001353454.2,NM_001353455.2,NM_001080506.3	3	1
LINC00575	NR_024088.1,NR_024087.1	2	1
SCD5	NM_001037582.3,NM_024906.2	2	1
SEC31A+THAP9-AS1	NM_001191049.2,NM_001318120.1,NM_001077208.3,NM_001077207.4,NM_001300744.2,NM_001300745.2,NM_001077206.3,NM_016211.4,NM_001318119.1,NR_034077.1,NR_034076.1,NR_034075.1	12	2
THAP9	NM_001317776.1,NM_024672.6	2	1
LIN54	NR_110254.2,NM_001115008.3,NM_001288997.1,NM_001288996.2,NM_001115007.3,NR_110253.2,NM_194282.4	7	1
COPS4	NM_016129.3,NM_001258006.2,NM_001330727.2	3	1
PLAC8	NM_001130716.2,NM_016619.3,NM_001130715.2	3	1
COQ2	NM_001358921.1,NM_015697.8	2	1
HPSE	NM_001098540.3,NM_006665.5,NM_001166498.2,NM_001199830.1	4	1
HELQ	NM_001297757.1,NM_001297756.1,NM_001297755.1,NM_133636.4,NR_123737.1,NM_001297758.1,NM_001297759.1	7	1
MRPS18C	NM_001297769.1,NM_001297767.1,NM_001297770.1,NM_016067.4	4	1
ABRAXAS1	NM_139076.3,NM_001345962.2	2	1
GPAT3	NM_001256422.1,NM_001256421.1,NM_032717.5	3	1
WDFY3-AS2	NR_152775.1,NR_152772.1,NR_152773.1,NR_152771.1,NR_152774.1,NR_015359.2,NR_152781.1,NR_152776.1,NR_152778.1,NR_152780.1,NR_152779.1,NR_152782.1	12	1
ARHGAP24	NM_001025616.3,NM_001346093.2,NM_001042669.2,NM_001287805.2,NM_031305.3	5	1
MAPK10	NM_138980.4,NM_001351624.2,NM_138982.4,NM_001318069.2,NM_001363657.2,NM_001351625.2,NM_002753.5,NM_001318067.1,NM_001318068.1	9	1
PTPN13	NM_080685.2,NM_080683.3,NM_006264.3,NM_080684.3	4	1
C4orf36	NM_144645.4,NM_001369889.1,NM_001369888.1	3	1
AFF1	NM_001166693.2,NM_001313959.1,NM_001313960.1,NM_005935.3	4	1
KLHL8	NM_001292003.1,NM_001292007.2,NR_120447.2,NM_001292006.2,NM_020803.5	5	1
HSD17B13	NM_001136230.3,NM_178135.5	2	1
NUDT9	NM_024047.5,NM_001248011.1,NM_198038.2	3	1
SPARCL1	NM_004684.5,NM_001291976.1,NM_001128310.2,NM_001291977.1	4	1
DMP1	NM_001079911.3,NM_004407.4	2	1
MEPE	NM_001184694.2,NM_001184695.2,NM_001184697.1,NM_001184696.1,NM_020203.4,NM_001291183.1	6	1
SPP1	NM_001251830.1,NM_001251829.1,NM_001040060.1,NM_000582.2,NM_001040058.2	5	1
PKD2	NM_000297.4,NR_156488.2	2	1
ABCG2	NM_001348987.1,NM_001257386.2,NM_001348989.1,NM_001348985.1,NM_001348986.1,NM_001348988.1,NM_004827.3	7	1
PPM1K-DT	NR_134237.1,NR_134236.1,NR_134238.1	3	1
HERC6	NM_017912.3,NM_001165136.1	2	1
PYURF+PIGY	NM_001042616.2,NM_032906.5	2	2
PIGY-DT	NR_134663.1,NR_134662.1	2	1
HERC3	NM_001271602.1,NM_001318505.2,NM_014606.3	3	1
FAM13A	NM_001265580.1,NM_001265578.1,NM_001015045.2,NM_001265579.1,NM_014883.4	5	1
SNCA	NM_001146055.2,NM_007308.2,NM_000345.4,NM_001146054.2	4	1
MMRN1	NM_001371403.1,NM_007351.3	2	1
CCSER1	NM_001145065.1,NM_207491.2	2	1
GRID2	NM_001510.4,NM_001286838.1	2	1
SMARCAD1	NM_001128430.2,NM_020159.5,NM_001128429.3,NR_045644.1,NM_001254949.2	5	1
PDLIM5	NM_001011515.2,NM_001256426.1,NM_001256425.1,NM_001011516.2,NM_001256429.2,NM_001256427.2,NM_001011513.4,NM_001256428.2,NM_006457.5,NR_046186.2	10	1
BMPR1B	NM_001203.3,NM_001256792.1,NM_001256793.2,NM_001256794.1	4	1
RAP1GDS1	NM_001100426.2,NM_001100428.2,NM_021159.5,NM_001100427.2,NM_001100429.2,NM_001100430.2	6	1
EIF4E	NM_001331017.1,NM_001130679.2,NM_001968.4,NM_001130678.3	4	1
ADH4	NM_001306171.1,NM_001306172.1,NM_000670.4	3	1
ADH6	NR_132990.2,NM_001102470.2,NM_000672.4	3	1
ADH1B	NM_001286650.2,NM_000668.6	2	1
ADH1C	NM_000669.5,NR_133005.2	2	1
ADH7	NM_000673.4,NM_001166504.1	2	1
TRMT10A	NM_001134665.3,NM_001134666.3,NM_152292.5	3	1
MTTP	NM_001300785.1,NM_000253.3	2	1
DAPP1	NM_001306151.2,NM_014395.3	2	1
LAMTOR3	NM_021970.4,NM_001243736.1,NR_024170.1	3	1
DNAJB14	NM_001278310.2,NM_001031723.4,NM_001278311.2	3	1
EMCN	NM_001159694.2,NM_016242.4	2	1
PPP3CA	NM_000944.5,NM_001130692.2,NM_001130691.2	3	1
BANK1	NM_001127507.2,NM_017935.5,NM_001083907.3	3	1
SLC39A8	NM_001135147.1,NM_001135148.1,NM_022154.5,NM_001135146.2	4	1
NFKB1	NM_001165412.2,NM_003998.4,NM_001319226.2	3	1
UBE2D3	NM_181890.2,NM_181891.3,NM_003340.6,NM_181887.2,NM_181893.2,NM_181889.2,NM_181888.3,NM_181886.3,NM_001300795.1,NM_181892.3	10	1
UBE2D3-AS1	NR_131186.1,NR_131185.1	2	1
SLC9B2+SLC9B1	NM_001100874.3,NR_047513.2,NR_047515.2,NM_139173.4,NM_001370206.1,NM_001370205.1,NM_001370201.1,NM_001370204.1,NM_001370202.1,NM_001300756.2,NM_178833.7,NM_001370207.1,NM_001370200.1,NM_001370203.1,NM_001300754.2,NM_001370199.1	16	2
CENPE	NM_001813.3,NM_001286734.2	2	1
CXXC4	NM_025212.4,NR_132741.2	2	1
TET2	NM_017628.4,NM_001127208.2	2	1
PPA2	NM_176869.3,NM_176866.2,NM_006903.4,NM_176867.3	4	1
ARHGEF38	NM_001242729.2,NM_017700.1	2	1
INTS12	NM_001142471.1,NM_020395.4	2	1
GSTCD	NM_001370181.1,NM_024751.3,NM_001031720.3	3	1
NPNT	NM_001184693.2,NM_001184691.2,NM_001184692.2,NM_001033047.3,NM_001184690.2	5	1
TBCK	NM_001163435.3,NM_033115.5,NM_001290768.2,NM_001163436.4,NM_001163437.3	5	1
AIMP1	NM_001142415.1,NM_004757.3,NM_001142416.2	3	1
SGMS2	NM_001136258.1,NM_001136257.1,NM_152621.5	3	1
HADH	NM_001184705.2,NM_005327.5,NM_001331027.1	3	1
LEF1	NM_001130713.2,NM_001166119.1,NM_001130714.2,NM_016269.5	4	1
LEF1-AS1	NR_029374.1,NR_029373.1	2	1
RPL34	NM_001319236.1,NM_000995.4,NM_033625.3,NM_001319235.1,NM_001319232.1,NM_001319234.1	6	1
OSTC	NM_001267817.1,NM_021227.4,NM_001267818.2	3	1
ETNPPL	NM_001331032.2,NM_001146590.2,NM_001331033.2,NM_001146627.2,NM_031279.4,NM_001331031.2	6	1
COL25A1	NM_198721.4,NR_045756.3,NM_032518.3,NM_001256074.2	4	1
SEC24B	NM_001300813.2,NM_001042734.3,NM_001318086.1,NM_001318085.1,NM_006323.5	5	1
CASP6	NM_001226.4,NR_133012.2,NM_032992.3	3	1
CFI	NM_000204.4,NM_001331035.2,NM_001318057.2	3	1
GAR1	NM_032993.2,NM_018983.4	2	1
EGF	NM_001178131.3,NM_001178130.3,NM_001963.6,NM_001357021.2	4	1
ELOVL6	NM_001130721.2,NM_024090.3	2	1
PANCR	NR_147203.1,NR_147204.1	2	1
PITX2	NM_001204397.1,NM_000325.6,NM_153426.2,NM_001204398.1,NM_001204399.1,NM_153427.2	6	1
AP1AR	NM_018569.6,NR_136622.2,NM_001128426.3	3	1
ALPK1	NM_001253884.1,NM_025144.4,NM_001102406.2	3	1
ZGRF1	NM_001350397.1,NM_018392.4	2	1
LARP7	NM_001267039.1,NM_001370974.1,NM_001370979.1,NM_001370982.1,NM_016648.4,NM_001370976.1,NM_015454.2,NM_001370978.1,NM_001370980.1,NM_001370981.1,NM_001370975.1,NM_001370977.1	12	1
MIR302B+MIR302CHG	NR_146093.1,NR_146092.1,NR_146094.1,NR_029857.1	4	2
ANK2	NM_001354269.1,NM_001354252.1,NM_001354243.1,NM_001354272.1,NM_001354276.1,NM_001354275.1,NM_001354253.1,NM_001354249.1,NM_001354270.1,NM_001354262.1,NM_001354255.1,NM_001127493.2,NM_001354244.1,NM_001354257.1,NM_001354239.1,NM_001354266.1,NM_001354274.1,NM_001354260.1,NM_001354254.1,NM_001354256.1,NM_001354277.1,NM_001354264.1,NM_001354267.1,NM_001354271.1,NM_001354261.1,NM_001354265.1,NM_001354232.1,NM_001354236.1,NM_020977.4,NM_001354258.1,NM_001354268.1,NM_001354245.1,NM_001354228.1,NM_001354225.1,NM_001354235.1,NM_001354273.1,NM_001354246.1,NM_001354241.1,NM_001148.6,NM_001354230.1,NM_001354242.1,NM_001354237.1,NM_001354231.1,NM_001354240.1,NM_001354280.1,NM_001354278.1,NM_001354279.1,NM_001354281.1,NM_001354282.1	49	1
CAMK2D	NM_001321584.2,NM_001321591.2,NM_001321574.2,NM_001321589.2,NM_001321573.2,NM_001321567.2,NM_001321583.2,NM_172128.3,NM_001221.4,NM_001321572.2,NM_001321577.2,NM_001321590.2,NM_001321576.2,NM_001321581.2,NM_001321575.2,NM_001321566.2,NM_001321568.2,NM_001321582.2,NM_001321587.2,NM_001321586.2,NM_001321585.2,NM_001321579.2,NM_001321569.2,NM_001321571.2,NM_001321580.2,NM_172127.2,NM_001321588.2,NM_001321578.2,NM_001321570.2,NM_172129.1,NM_172115.2,NM_172114.1,NM_001321592.2	33	1
ARSJ	NM_024590.4,NM_001354210.2,NM_001354211.2	3	1
UGT8	NM_001322112.1,NM_001322113.1,NM_001128174.3,NM_001322114.1,NM_003360.4	5	1
LINC02263	NR_147152.1,NR_147153.1	2	1
NDST3	NR_146513.2,NM_004784.3,NR_146514.2	3	1
SNHG8	NR_034010.1,NR_003584.3,NR_034011.1	3	1
LOC729218	NR_109983.1,NR_103825.1	2	1
SEC24D	NM_014822.4,NM_001318066.2	2	1
SYNPO2	NM_001286754.2,NM_001286755.1,NM_001128934.3,NM_001128933.3,NM_133477.3	5	1
USP53	NM_019050.2,NM_001371399.1,NM_001371396.1,NM_001371395.1,NM_001371397.1,NM_001371398.1	6	1
C4orf3	NM_001170330.1,NM_001001701.4	2	1
PDE5A	NM_033437.3,NM_001083.4,NM_033430.3	3	1
PRDM5	NM_001300824.1,NM_001300823.1,NM_018699.3	3	1
TNIP3	NM_001244764.2,NM_001128843.2,NM_024873.6	3	1
TMEM155	NM_001369019.1,NM_001317839.2,NM_001317842.2,NM_001317838.2,NM_152399.4,NM_001317841.2,NM_001317837.2	7	1
EXOSC9	NM_001034194.2,NM_005033.3	2	1
BBS7	NM_176824.3,NM_018190.3	2	1
TRPC3	NM_001366479.2,NM_001130698.2,NM_003305.2	3	1
ADAD1	NM_139243.4,NM_001159285.2,NM_001159295.2	3	1
IL21	NM_021803.4,NM_001207006.2	2	1
BBS12	NM_001178007.1,NM_152618.3	2	1
FGF2	NM_002006.5,NM_001361665.2	2	1
NUDT6	NM_198041.3,NM_007083.5	2	1
SPATA5	NM_001317799.2,NM_145207.3,NM_001345856.2	3	1
SPRY1	NM_199327.3,NM_001258038.2,NM_001258039.1,NM_005841.3	4	1
LINC01091	NR_027105.3,NR_027106.2	2	1
ANKRD50	NM_020337.3,NM_001167882.2	2	1
FAT4	NM_024582.4,NM_001291285.1,NM_001291303.1	3	1
SLC25A31	NM_031291.4,NM_001318467.2	2	1
HSPA4L	NM_001317381.2,NM_014278.4,NM_001317383.2,NM_001317382.1	4	1
PLK4	NM_001190799.2,NM_014264.5,NM_001190801.1	3	1
MFSD8	NM_001371592.1,NM_001371593.1,NM_001371595.1,NM_001363520.2,NM_001371596.1,NM_001363521.2,NM_152778.3,NM_001371594.1,NM_001371590.1,NM_001371591.1	10	1
ABHD18	NM_001039717.2,NM_001358451.2,NM_001319307.2,NM_001366045.1,NM_001366040.2,NM_001319306.2,NM_001366039.2,NM_001366037.2,NM_001366048.1,NM_001366046.1,NM_001366044.1,NM_025097.2,NM_001319305.2,NM_001366043.1,NM_001358454.2,NM_001366041.2,NM_001366038.2,NM_001366047.1,NM_001366042.2	19	1
LARP1B	NM_032239.4,NM_001350531.2,NM_018078.4,NM_001278604.2,NM_178043.3,NR_146772.2	6	1
JADE1	NM_199320.4,NM_001287437.2,NM_024900.5,NM_001287440.2,NM_001287439.2,NM_001287442.1,NM_001287441.2,NM_001287443.1	8	1
SCLT1	NM_144643.4,NM_001300898.2,NM_001300897.2	3	1
C4orf33	NM_173487.3,NM_001099783.2	2	1
SNHG27	NR_125884.1,NR_125883.1	2	1
PCDH10	NM_020815.3,NM_032961.3	2	1
PABPC4L	NM_001114734.2,NM_001363585.1	2	1
LINC00613	NR_103762.1,NR_103763.1	2	1
PCDH18	NM_001300828.2,NM_019035.5	2	1
ELF2	NM_201999.3,NM_001276458.2,NM_001331036.2,NM_006874.4,NM_001276459.2,NM_001371337.1,NM_001371338.1,NM_001371339.1,NM_001371324.1,NM_001371336.1,NM_001276457.1	11	1
NDUFC1	NM_002494.3,NM_001184987.1,NM_001184991.1,NM_001184990.1,NM_001184988.1,NM_001184986.1,NM_001184989.2	7	1
LOC107984036	NR_159964.1,NR_159963.1	2	1
SETD7	NM_001306199.1,NM_030648.3,NR_131339.1,NM_001306200.1	4	1
MGST2	NM_001204366.1,NM_001204367.1,NM_001204368.2,NM_002413.5	4	1
SCOC	NM_032547.3,NM_001153446.1,NM_001153635.1,NM_001153690.1,NM_001153585.1,NM_001153552.1,NM_001153663.1,NM_001153484.1	8	1
CLGN	NM_001130675.1,NM_004362.3	2	1
ZNF330	NM_001292002.2,NM_014487.6	2	1
IL15	NM_172175.3,NM_000585.5,NR_037840.3	3	1
INPP4B	NM_001101669.2,NM_003866.3,NM_001331040.1	3	1
USP38	NM_001290325.1,NM_001290326.1,NM_032557.6	3	1
GAB1	NM_207123.3,NM_002039.4	2	1
GYPE	NM_198682.3,NM_002102.4	2	1
GYPB	NM_002100.5,NM_001304382.1	2	1
GYPA	NM_002099.8,NM_001308190.2,NM_001308187.2	3	1
ANAPC10	NR_046345.1,NM_001256712.1,NM_001256709.1,NM_001256707.1,NM_014885.4,NM_001256710.1,NM_001256708.1,NM_001318367.1,NM_001256711.1,NM_001256706.2	10	1
ABCE1	NM_002940.3,NM_001040876.2	2	1
OTUD4	NM_001366057.1,NM_001102653.1,NM_001366058.1,NM_017493.7	4	1
SMAD1	NM_001354812.1,NM_001354814.1,NM_001354813.1,NM_005900.3,NM_001354811.1,NM_001354816.1,NM_001003688.1,NM_001354817.1	8	1
ZNF827	NM_001306215.2,NM_178835.5	2	1
REELD1	NM_001354631.1,NM_001371071.1	2	1
SLC10A7	NM_001317816.2,NM_001300842.3,NR_133924.2,NM_001029998.6,NM_001317817.1,NM_032128.4,NM_001317818.2	7	1
TTC29	NR_133922.2,NM_031956.3,NM_001300761.3,NM_001317806.2	4	1
EDNRA	NM_001166055.1,NR_045958.2,NR_148964.2,NM_001957.4,NR_148963.2,NM_001354797.2	6	1
PRMT9	NM_001350143.1,NM_138364.4,NM_001304458.1,NM_001350144.1,NM_001350141.1,NM_001350142.1	6	1
NR3C2	NM_001166104.2,NM_000901.5,NM_001354819.1,NR_148974.2	4	1
IQCM	NM_001363507.2,NM_001363509.2	2	1
DCLK2	NM_001040261.5,NR_036614.2,NM_001040260.4	3	1
LRBA	NM_001367550.1,NM_001364905.1,NM_001199282.2,NM_006726.4	4	1
SNORD73A+RPS3A	NM_001267699.1,NM_001006.5,NR_000007.1	3	2
SH3D19	NM_001243349.2,NM_001009555.3,NM_001128924.1,NM_001128923.2	4	1
PRSS48	NM_183375.4,NM_001353611.1	2	1
FAM160A1	NM_001109977.3,NM_001348694.2	2	1
GATB	NM_004564.3,NM_001363341.1	2	1
LINC02273	NR_121628.1,NR_121627.1	2	1
FBXW7	NM_001349798.2,NM_018315.5,NM_001013415.2,NM_033632.3,NM_001257069.1	5	1
MIR4453HG+MIR4453	NR_033797.2,NR_039658.1	2	2
ARFIP1	NM_014447.3,NM_001287432.1,NM_001287431.1,NM_001287433.1,NM_001025593.2,NM_001025595.3	6	1
FHDC1	NM_001371116.1,NM_033393.2	2	1
TRIM2	NM_001351056.2,NM_001130067.2,NM_001302692.1,NM_001302693.1,NM_001351057.2,NM_015271.5,NM_001302694.1,NM_001351054.2,NM_001351055.2	9	1
MND1	NM_001253861.1,NR_045605.2,NM_032117.4	3	1
TMEM131L	NM_015196.3,NM_001131007.2	2	1
TLR2	NM_001318791.2,NM_001318790.2,NM_003264.5,NM_001318795.2,NM_001318793.2,NM_001318787.2,NM_001318789.2,NM_001318796.2	8	1
DCHS2	NM_001358235.2,NM_001142552.2	2	1
PLRG1	NM_001201564.1,NM_002669.4	2	1
FGB	NM_005141.4,NM_001184741.1	2	1
FGA	NM_000508.5,NM_021871.4	2	1
FGG	NM_000509.5,NM_021870.3	2	1
LRAT	NM_001301645.1,NM_004744.5	2	1
RBM46	NM_001277171.2,NM_144979.5,NM_001277173.1	3	1
NPY2R	NM_000910.4,NM_001370180.1	2	1
GUCY1A1	NM_001130687.2,NM_001130683.4,NM_000856.6,NM_001130685.3,NM_001130682.3,NM_001256449.2,NM_001130684.3	7	1
GUCY1B1	NM_001291953.2,NM_000857.4,NM_001291955.2,NM_001291951.2,NM_001291954.2,NM_001291952.2	6	1
PDGFC	NR_036641.2,NM_016205.3	2	1
GLRB	NM_001166061.1,NM_000824.5,NM_001166060.1	3	1
GRIA2	NM_001083619.1,NM_001083620.1,NM_000826.4	3	1
GASK1B	NM_001128424.2,NM_001031700.3,NM_016613.7	3	1
FAM198B-AS1	NR_147409.1,NR_147407.1,NR_147410.1,NR_147408.1	4	1
RXFP1	NM_001363776.1,NM_001253733.1,NM_001253730.1,NM_001253727.1,NM_001253728.2,NM_001253732.2,NM_021634.4,NR_045581.2,NM_001253729.2,NR_045579.2,NR_045582.2,NR_045583.2,NR_045584.2,NR_045580.2	14	1
C4orf46	NM_001008393.4,NR_077234.2,NR_077235.2	3	1
ETFDH	NM_001281737.1,NM_004453.4,NM_001281738.1	3	1
FNIP2	NM_001346043.2,NM_020840.3,NM_001366843.1,NM_001323916.2	4	1
RAPGEF2	NM_001351724.2,NM_001351726.1,NM_001351725.1,NM_014247.3,NM_001351728.2,NM_001351727.2	6	1
FSTL5	NM_001128428.2,NM_001128427.2,NM_020116.5	3	1
NAF1	NM_001128931.2,NM_138386.3	2	1
NPY5R	NM_001317092.1,NM_006174.4,NM_001317091.1	3	1
MARCHF1	NM_001166373.1,NM_017923.4	2	1
TRIM60	NM_001258025.2,NM_152620.3	2	1
KLHL2	NM_007246.4,NM_001331023.1,NM_001331024.1,NM_001161522.1,NM_001161521.1	5	1
MSMO1	NM_001017369.2,NM_006745.5	2	1
TLL1	NM_012464.5,NM_001204760.2	2	1
SPOCK3	NM_016950.2,NM_001204352.1,NM_001251967.1,NM_001204356.1,NM_001204353.1,NM_001204354.1,NM_001204355.1,NM_001040159.2,NM_001204358.2	9	1
DDX60L	NM_001345927.2,NM_001012967.2,NM_001291510.2	3	1
PALLD	NM_001166108.2,NM_016081.4,NM_001166109.2,NM_001367569.1,NM_001367567.1,NM_001367568.1,NM_001367570.1,NM_001166110.2	8	1
NEK1	NM_012224.3,NM_001199397.2,NM_001199398.2,NM_001199400.2,NM_001199399.2	5	1
CLCN3	NM_001829.4,NM_173872.4,NM_001243372.2,NM_001243374.1	4	1
MFAP3L	NM_021647.8,NM_001301648.2,NM_001301647.2,NM_001009554.4,NR_125890.2	5	1
AADAT	NM_182662.1,NM_001286682.1,NM_016228.4,NM_001286683.1	4	1
GALNTL6-AS1	NR_125895.1,NR_125894.1	2	1
LOC101930370	NR_134242.1,NR_134241.1	2	1
HMGB2	NM_001130689.1,NM_001130688.1,NM_002129.4	3	1
SCRG1	NM_001329597.2,NM_007281.4	2	1
HAND2-AS1	NR_136197.1,NR_136196.1,NR_136198.1,NR_136192.1,NR_136195.1,NR_136200.1,NR_136193.1,NR_136201.1,NR_136199.1,NR_136194.1,NR_003679.2	11	1
CEP44	NM_001145314.1,NM_001040157.3	2	1
HPGD	NM_000860.6,NM_001256307.1,NM_001256306.1,NM_001145816.2,NM_001256301.1,NM_001256305.1,NM_001363574.2	7	1
GLRA3	NM_001042543.3,NM_006529.4	2	1
ADAM29	NM_001130704.1,NM_001278125.1,NM_014269.4,NM_001130705.1,NM_001130703.1,NM_001278126.1,NM_001278127.1	7	1
GPM6A	NM_005277.4,NM_001261448.1,NR_048571.1,NM_001261447.1,NM_201592.2,NM_201591.2	6	1
WDR17	NM_181265.4,NM_001350727.2,NM_170710.5	3	1
AGA	NR_033655.1,NM_001171988.1,NM_000027.4	3	1
LINC01099	NR_108092.1,NR_108093.1	2	1
TENM3-AS1	NR_125905.1,NR_027107.2	2	1
DCTD	NM_001351747.1,NM_001351743.1,NM_001351750.1,NM_001351753.1,NM_001351748.1,NM_001012732.1,NM_001351744.1,NM_001351745.1,NM_001921.2	9	1
CDKN2AIP	NM_001317343.2,NM_017632.4	2	1
ING2	NM_001564.4,NM_001291959.1	2	1
RWDD4	NM_001307922.2,NM_152682.4	2	1
TRAPPC11	NM_199053.2,NM_021942.6	2	1
STOX2	NR_132761.1,NM_020225.3	2	1
LINC02362	NR_125933.1,NR_125934.1	2	1
LINC02365	NR_131967.1,NR_131965.1,NR_131966.1	3	1
CASP3	NM_001354784.1,NM_004346.4,NM_001354780.1,NM_001354782.1,NM_001354779.1,NM_001354777.1,NM_032991.2,NM_001354781.1,NM_001354783.1	9	1
PRIMPOL	NM_001345900.2,NM_001300767.2,NM_001345895.2,NR_144312.2,NM_001345894.2,NM_001345891.2,NM_001345896.2,NM_001345897.2,NM_001345901.2,NM_001345898.2,NR_144313.2,NM_001345893.2,NM_001345899.2,NR_144314.2,NM_152683.4,NM_001345892.2,NM_001300768.2	17	1
CENPU	NR_104593.2,NM_024629.4	2	1
ACSL1	NM_001286711.1,NM_001286708.1,NM_001286712.1,NM_001995.4,NM_001286710.1	5	1
LINC01093	NR_039975.1,NR_039976.1,NR_039977.1	3	1
HELT	NM_001300782.1,NM_001300781.1	2	1
CFAP97	NM_020827.3,NM_001292033.2	2	1
UFSP2	NM_018359.5,NR_028085.1,NR_144317.1	3	1
C4orf47	NM_001114357.2,NM_001346007.1	2	1
CCDC110	NM_152775.4,NM_001145411.2	2	1
PDLIM3	NM_001257962.1,NM_001257963.1,NM_014476.5,NR_047562.1,NM_001114107.4	5	1
SORBS2	NM_001270771.2,NM_021069.5,NM_001145673.2,NM_001145674.1,NM_001145671.2,NM_003603.6,NM_001145675.2,NM_001145672.1,NM_001145670.1	9	1
FAM149A	NM_001367768.2,NM_001006655.3,NM_001350179.1,NM_001350178.1,NM_015398.3	5	1
KLKB1	NM_001318394.2,NM_000892.5,NM_001318396.2	3	1
F11	NM_001354804.2,NM_000128.4	2	1
F11-AS1	NR_033900.1,NR_033901.2	2	1
ZFP42	NM_174900.5,NM_001304358.2	2	1
TRIML2	NM_001303419.1,NM_173553.4	2	1
FRG1-DT	NR_149039.1,NR_149038.1	2	1
FRG2	NM_001005217.2,NM_001286820.1	2	1
MAFIP	NR_046440.2,NR_046441.2,NR_046439.2,NR_046442.2	4	1
SDHA	NM_001294332.1,NM_001330758.1,NM_004168.4	3	1
AHRR+PDCD6	NM_001267557.1,NM_001267558.1,NM_001267559.2,NR_073609.2,NM_013232.4,NM_001267556.2,NM_020731.4,NM_001242412.1	8	2
PP7080+SLC9A3	NM_001284351.3,NM_004174.4,NR_024158.1	3	2
CEP72	NM_018140.4,NR_164122.1	2	1
ZDHHC11B	NR_147096.2,NM_001351303.1,NR_147095.2	3	1
BRD9	NM_001009877.2,NR_134296.1,NM_023924.5,NM_001317951.2	4	1
TRIP13	NM_001166260.2,NM_004237.4	2	1
LOC100506688	NR_104614.1,NR_104615.1	2	1
NKD2	NM_033120.4,NM_001271082.1	2	1
TERT	NR_149162.2,NR_149163.2,NM_001193376.2,NM_198253.3	4	1
IRX4	NM_016358.3,NM_001278634.2,NM_001278632.1,NM_001278633.1,NM_001278635.1	5	1
IRX2	NM_001134222.2,NM_033267.5	2	1
C5orf38	NM_001306149.2,NR_122126.2,NM_001365689.1,NM_001365688.1,NR_122125.2,NM_001365685.1,NM_001306150.1,NM_178569.3,NM_001294337.1	9	1
ADAMTS16	NR_136935.2,NM_139056.4	2	1
LINC01018	NR_024423.2,NR_024424.2	2	1
NSUN2	NM_001193455.2,NR_037947.2,NM_017755.6	3	1
SRD5A1	NM_001047.4,NR_136739.2,NM_001324322.2,NM_001324323.2	4	1
TENT4A	NM_001171805.3,NM_006999.6	2	1
FASTKD3	NR_073608.1,NR_036553.1,NM_024091.4	3	1
MTRR	NR_157176.2,NR_157173.2,NR_134480.2,NM_001364440.2,NR_157178.2,NM_001364442.2,NR_157172.2,NM_001364441.2,NR_157169.2,NM_024010.4,NR_134482.2,NR_157168.2,NR_134481.2,NM_002454.3,NR_157170.2,NR_157177.2,NR_157171.2,NR_157175.2,NR_157174.2	19	1
MIR4458HG+MIR4458	NR_039989.1,NR_039663.1	2	2
ATPSCKMT	NR_047668.1,NR_047669.1,NM_001258388.1,NR_047670.1,NM_001258389.1,NM_199133.4	6	1
