gene	transcript	n_transcript	n_gene
HINT3	NM_138571.5	1	1
MIR588	NR_030316.1	1	1
RSPO3	NM_032784.5	1	1
C6orf58	NM_001010905.3	1	1
LOC101928140	NR_125849.1	1	1
ARHGAP18	NM_033515.3	1	1
TMEM244	NM_001010876.2	1	1
SMLR1	NM_001195597.1	1	1
OR2A4	NM_030908.2	1	1
CTAGE9	NM_001145659.1	1	1
MIR548H5	NR_039610.1	1	1
ENPP1	NM_006208.3	1	1
CCN2	NM_001901.3	1	1
MIR548AJ1	NR_039673.1	1	1
MOXD1	NM_015529.4	1	1
TAAR9	NM_175057.3	1	1
TAAR8	NM_053278.2	1	1
TAAR6	NM_175067.1	1	1
TAAR5	NM_003967.2	1	1
TAAR3P	NR_028511.1	1	1
TAAR1	NM_138327.2	1	1
VNN1	NM_004666.3	1	1
SLC18B1	NM_052831.3	1	1
RPS12	NM_001016.4	1	1
SNORD101	NR_002434.1	1	1
SNORD100	NR_002435.1	1	1
SNORA33	NR_002436.1	1	1
LINC00326	NR_026969.1	1	1
TARID	NR_109982.1	1	1
LINC01312	NR_027030.1	1	1
SLC2A12	NM_145176.3	1	1
HMGA1P7	NR_037938.1	1	1
CT69	NR_125852.1	1	1
MIR3662	NR_037435.1	1	1
MIR548A2	NR_030317.1	1	1
PDE7B	NM_018945.4	1	1
LOC644135	NR_149042.1	1	1
MAP3K5	NM_005923.4	1	1
MAP3K5-AS1	NR_125858.1	1	1
LOC101928429	NR_134635.1	1	1
PEX7	NM_000288.4	1	1
SLC35D3	NM_001008783.3	1	1
NHEG1	NR_027994.1	1	1
OLIG3	NM_175747.2	1	1
LOC102723649	NR_125867.1	1	1
WAKMAR2	NR_049793.1	1	1
LINC02528	NR_149097.1	1	1
PERP	NM_022121.5	1	1
ARFGEF3	NM_020340.5	1	1
PBOV1	NM_021635.2	1	1
SMIM28	NM_001368163.1	1	1
MIR3145	NR_036099.1	1	1
FLJ46906	NR_033896.1	1	1
CCDC28A	NM_015439.2	1	1
ABRACL	NM_021243.3	1	1
HECA	NM_016217.3	1	1
TXLNB	NM_153235.4	1	1
LINC01625	NR_033919.1	1	1
LOC103352541	NR_121624.1	1	1
MIR3668	NR_037441.1	1	1
MIR4465	NR_039675.1	1	1
GJE1	NM_001358410.1	1	1
HIVEP2	NM_006734.4	1	1
LINC01277	NR_038987.1	1	1
PEX3	NM_003630.3	1	1
FUCA2	NM_032020.5	1	1
ZC2HC1B	NM_001013623.3	1	1
SF3B5	NM_031287.3	1	1
STX11	NM_003764.4	1	1
UTRN	NM_007124.2	1	1
SNORA98	NR_132778.1	1	1
RAB32	NM_006834.5	1	1
LOC101928661	NR_125860.1	1	1
ADGB	NM_024694.4	1	1
KATNBL1P6	NR_003954.1	1	1
STXBP5-AS1	NR_034115.1	1	1
LUADT1	NR_132442.1	1	1
SAMD5	NM_001030060.3	1	1
UST	NM_005715.3	1	1
UST-AS1	NR_038408.1	1	1
LOC105378047	NR_134599.1	1	1
TAB2-AS1	NR_149096.1	1	1
SUMO4	NM_001002255.2	1	1
ZC3H12D	NM_207360.3	1	1
PPIL4	NM_139126.4	1	1
GINM1	NM_138785.5	1	1
RPS18P9	NR_077247.1	1	1
LOC645967	NR_134652.1	1	1
LRP11	NM_032832.6	1	1
LOC105378052	NR_134598.1	1	1
ULBP2	NM_025217.4	1	1
RAET1K	NR_024045.1	1	1
RAET1L	NM_130900.3	1	1
ULBP3	NM_024518.3	1	1
PPP1R14C	NM_030949.3	1	1
MIR12131	NR_162145.1	1	1
LOC102723831	NR_125868.1	1	1
ZBTB2	NM_020861.3	1	1
CCDC170	NM_025059.4	1	1
SYNE1-AS1	NR_120501.1	1	1
RGS17	NM_012419.5	1	1
MIR1273C	NR_036100.1	1	1
CLDN20	NM_001001346.3	1	1
NOX3	NM_015718.3	1	1
MIR1202	NR_031606.1	1	1
SNORD28B	NR_145751.1	1	1
LOC115308161	NR_163974.1	1	1
MIR4466	NR_039676.1	1	1
TMEM242	NM_018452.6	1	1
MIR3692	NR_037463.1	1	1
SNX9	NM_016224.5	1	1
SYNJ2-IT1	NR_046796.1	1	1
GTF2H5	NM_207118.3	1	1
SNORA116	NR_145798.1	1	1
TMEM181	NM_020823.1	1	1
MIR7161	NR_106981.1	1	1
MIR3918	NR_037482.1	1	1
EZR-AS1	NR_102425.1	1	1
OSTCP1	NR_028496.1	1	1
LOC101929122	NR_121668.1	1	1
FNDC1	NM_032532.3	1	1
LINC02529	NR_125873.1	1	1
SNORA20	NR_002960.1	1	1
SNORA29	NR_002965.1	1	1
IGF2R	NM_000876.3	1	1
LOC729603	NR_003288.2	1	1
SLC22A2	NM_003058.4	1	1
SLC22A3	NM_021977.4	1	1
LPA	NM_005577.4	1	1
AGPAT4	NM_020133.3	1	1
AGPAT4-IT1	NR_024277.1	1	1
PACRG-AS3	NR_122120.1	1	1
PACRG-AS1	NR_028390.1	1	1
DKFZp451B082	NR_033862.1	1	1
CAHM	NR_037593.1	1	1
LOC102724152	NR_134620.1	1	1
MEAT6	NR_131926.1	1	1
C6orf118	NM_144980.4	1	1
LINC00602	NR_027284.1	1	1
LOC729681	NR_147704.1	1	1
LOC101929297	NR_125862.1	1	1
PRR18	NM_175922.4	1	1
LOC100289495	NR_040022.1	1	1
RPS6KA2-IT1	NR_046793.1	1	1
MIR1913	NR_031734.1	1	1
RPS6KA2-AS1	NR_046644.1	1	1
RNASET2	NM_003730.6	1	1
MIR3939	NR_037504.1	1	1
GPR31	NM_005299.2	1	1
LOC105378123	NR_134592.1	1	1
TCP10L2	NM_001145121.2	1	1
HPAT5	NR_157263.1	1	1
TTLL2	NM_031949.5	1	1
LOC105378127	NR_134591.1	1	1
LINC02538	NR_117091.1	1	1
LINC02487	NR_117092.1	1	1
LINC01558	NR_026773.1	1	1
LOC441179	NR_149041.1	1	1
AFDN-DT	NR_027906.1	1	1
HGC6.3	NM_001129895.2	1	1
KIF25-AS1	NR_103750.1	1	1
LOC105378137	NR_134590.1	1	1
LOC101929420	NR_110870.1	1	1
LOC101929460	NR_134622.1	1	1
LOC102724357	NR_134619.1	1	1
LINC02544	NR_125863.1	1	1
LOC101929523	NR_134621.1	1	1
THBS2	NM_003247.3	1	1
LINC00242	NR_026781.1	1	1
LINC00574	NR_026780.1	1	1
LOC102724511	NR_125878.1	1	1
LOC154449	NR_002787.2	1	1
LOC285804	NR_126021.1	1	1
LINC01624	NR_104177.1	1	1
DLL1	NM_005618.4	1	1
MIR4644	NR_039787.1	1	1
PSMB1	NM_002793.4	1	1
LOC102723672	NR_134325.1	1	1
LOC105375115	NR_134324.1	1	1
FAM20C	NM_020223.4	1	1
LOC442497	NR_033960.1	1	1
HRAT92	NR_033963.1	1	1
PRKAR1B-AS2	NR_132384.1	1	1
GET4	NM_015949.3	1	1
COX19	NM_001031617.3	1	1
CYP2W1	NM_017781.3	1	1
MIR339	NR_029898.1	1	1
UNCX	NM_001080461.3	1	1
MICALL2	NM_182924.4	1	1
INTS1	NM_001080453.3	1	1
MAFK	NM_002360.4	1	1
LOC100128653	NR_149036.1	1	1
TMEM184A	NM_001097620.2	1	1
TFAMP1	NR_001288.1	1	1
ELFN1	NM_001128636.3	1	1
MIR4655	NR_039799.1	1	1
SNORA114	NR_145797.1	1	1
MRM2	NM_013393.3	1	1
SNX8	NM_013321.4	1	1
MIR6836	NR_106895.1	1	1
GRIFIN	NM_001291784.1	1	1
MIR4648	NR_039791.2	1	1
TTYH3	NM_025250.3	1	1
LOC100129603	NR_126024.1	1	1
LOC105375131	NR_158215.1	1	1
FOXK1	NM_001037165.2	1	1
MIR4656	NR_039800.1	1	1
RADIL	NM_018059.5	1	1
SNORD165	NR_145804.1	1	1
PAPOLB	NM_020144.5	1	1
ZNF890P	NR_034163.1	1	1
TNRC18	NM_001080495.2	1	1
LOC100129484	NM_001354886.1	1	1
MIR589	NR_030318.1	1	1
LOC221946	NR_126168.1	1	1
ACTB	NM_001101.5	1	1
FSCN1	NM_003088.4	1	1
RNF216-IT1	NR_046834.1	1	1
MIR6874	NR_106934.1	1	1
ZNF815P	NR_023382.1	1	1
OCM	NM_001097622.2	1	1
CCZ1	NM_015622.6	1	1
RSPH10B	NM_173565.3	1	1
SNORA80D	NR_145771.1	1	1
ANKRD61	NM_001271700.2	1	1
FAM220A	NM_001037163.2	1	1
GRID2IP	NM_001145118.1	1	1
ZNF316	NM_001278559.2	1	1
PMS2CL	NR_002217.1	1	1
RSPH10B2	NM_001099697.1	1	1
CCZ1B	NM_198097.3	1	1
MIR3683	NR_037454.1	1	1
LOC100131257	NR_034022.1	1	1
C1GALT1	NM_020156.5	1	1
LOC101927354	NR_108073.1	1	1
COL28A1	NM_001037763.3	1	1
LOC101927391	NR_110084.1	1	1
RPA3	NM_002947.5	1	1
GLCCI1-DT	NR_110018.1	1	1
GLCCI1	NM_138426.4	1	1
LOC100505938	NR_125740.1	1	1
NXPH1	NM_152745.3	1	1
PER4	NR_002790.3	1	1
MGC4859	NR_147499.1	1	1
LOC100131472	NR_149037.1	1	1
NDUFA4	NM_002489.4	1	1
THSD7A	NM_015204.3	1	1
AGMO	NM_001004320.2	1	1
MEOX2	NM_005924.5	1	1
LOC105375166	NR_134258.1	1	1
LINC02587	NR_110094.1	1	1
SOSTDC1	NM_015464.3	1	1
LRRC72	NM_001195280.2	1	1
ANKMY2	NM_020319.3	1	1
TSPAN13	NM_014399.4	1	1
AGR2	NM_006408.4	1	1
AGR3	NM_176813.5	1	1
AHR	NM_001621.5	1	1
LOC101927630	NR_110013.1	1	1
PRPS1L1	NM_175886.3	1	1
MIR1302-6	NR_031635.1	1	1
FERD3L	NM_152898.2	1	1
TWISTNB	NM_001002926.2	1	1
MIR3146	NR_036101.1	1	1
MACC1-AS1	NR_046756.1	1	1
LOC101927769	NR_110117.1	1	1
ITGB8	NM_002214.3	1	1
RPL23P8	NR_026673.1	1	1
LINC01162	NR_126381.1	1	1
MIR1183	NR_031594.1	1	1
DNAH11	NM_001277115.2	1	1
LOC100506178	NR_038393.1	1	1
LOC401312	NR_122075.1	1	1
IL6-AS1	NR_131935.1	1	1
TOMM7	NM_019059.4	1	1
SNHG26	NR_146320.1	1	1
SNORD93	NR_003075.1	1	1
KLHL7-DT	NR_046220.1	1	1
MALSU1	NM_138446.2	1	1
IGF2BP3	NM_006547.3	1	1
SNORD65C	NR_145734.1	1	1
RPS2P32	NR_026676.1	1	1
CLK2P1	NR_002711.3	1	1
CCDC126	NM_138771.4	1	1
NPY	NM_000905.4	1	1
CYCS	NM_018947.6	1	1
NPVF	NM_022150.3	1	1
MIR148A	NR_029597.1	1	1
NFE2L3	NM_004289.7	1	1
KIAA0087	NR_022006.1	1	1
HOXA2	NM_006735.4	1	1
HOXA-AS2	NR_122069.1	1	1
HOXA4	NM_002141.5	1	1
HOXA5	NM_019102.4	1	1
HOXA6	NM_024014.4	1	1
HOXA7	NM_006896.4	1	1
HOXA10-AS	NR_046609.1	1	1
MIR196B	NR_029911.1	1	1
HOXA11	NM_005523.6	1	1
HOXA11-AS	NR_002795.2	1	1
HOXA13	NM_000522.5	1	1
HOTTIP	NR_037843.3	1	1
EVX1-AS	NR_120507.1	1	1
HIBADH	NM_152740.4	1	1
JAZF1	NM_175061.4	1	1
JAZF1-AS1	NR_034097.1	1	1
TRIL	NM_014817.4	1	1
LOC100506497	NR_038965.1	1	1
LOC101928168	NR_120523.1	1	1
CHN2-AS1	NR_120522.1	1	1
MIR550A3	NR_039600.1	1	1
WIPF3	NM_001080529.2	1	1
MTURN	NM_152793.3	1	1
LOC105375218	NR_136267.1	1	1
ZNRF2	NM_147128.4	1	1
MIR550A1	NR_030319.1	1	1
MIR550B1	NR_037513.1	1	1
DKFZP586I1420	NR_002186.1	1	1
LINC01176	NR_108081.1	1	1
GARS-DT	NR_038889.1	1	1
GHRHR	NM_000823.4	1	1
NEUROD6	NM_022728.4	1	1
LOC100130673	NR_038454.1	1	1
AVL9	NM_015060.3	1	1
DPY19L1P1	NR_036680.1	1	1
ZNRF2P1	NR_003502.2	1	1
MIR550A2	NR_030320.1	1	1
MIR550B2	NR_037514.1	1	1
LINC00997	NR_036501.1	1	1
DPY19L1P2	NR_132360.1	1	1
KBTBD2	NM_015483.3	1	1
RP9P	NR_003500.1	1	1
RP9	NM_203288.2	1	1
MIR548N	NR_031666.1	1	1
DPY19L2P1	NR_002833.2	1	1
LOC401324	NR_038864.1	1	1
HERPUD2	NM_022373.5	1	1
LOC101930085	NR_136255.1	1	1
LOC101928618	NR_108089.1	1	1
EEPD1	NM_030636.3	1	1
AOAH-IT1	NR_046764.1	1	1
MIR1200	NR_031604.1	1	1
ELMO1-AS1	NR_104120.1	1	1
NME8	NM_016616.5	1	1
SFRP4	NM_003014.4	1	1
TRG-AS1	NR_040085.1	1	1
FAM183BP	NR_028347.1	1	1
POU6F2-AS2	NR_138047.1	1	1
SNORA20B	NR_145730.1	1	1
POU6F2-AS1	NR_046711.1	1	1
RALA	NM_005402.4	1	1
LINC00265	NR_026999.1	1	1
LOC112267983	NR_158201.1	1	1
MPLKIP	NM_138701.4	1	1
LINC01450	NR_110831.1	1	1
LINC01449	NR_110832.1	1	1
INHBA	NM_002192.4	1	1
GLI3	NM_000168.6	1	1
LINC01448	NR_110833.1	1	1
PSMA2	NM_002787.5	1	1
HECW1-IT1	NR_135295.1	1	1
MIR3943	NR_037508.1	1	1
LUARIS	NR_038276.1	1	1
STK17A	NM_004760.3	1	1
UBE2D4	NM_015983.4	1	1
POLR2J4	NR_003655.3	1	1
SPDYE1	NM_175064.2	1	1
RASA4CP	NR_024116.2	1	1
MIR6837	NR_106896.1	1	1
PGAM2	NM_000290.4	1	1
AEBP1	NM_001129.5	1	1
MIR4649	NR_039792.2	1	1
MYL7	NM_021223.3	1	1
NUDCD3	NM_015332.4	1	1
MYO1G	NM_033054.3	1	1
SNORA9	NR_002952.1	1	1
NACAD	NM_001146334.2	1	1
SNORA5A	NR_002919.1	1	1
SNORA5C	NR_002991.1	1	1
SNORA5B	NR_002990.1	1	1
RAMP3	NM_005856.3	1	1
SEPTIN7P2	NR_024271.1	1	1
LOC730234	NR_146388.1	1	1
IGFBP1	NM_000596.4	1	1
LOC730338	NR_134575.1	1	1
TNS3	NM_022748.12	1	1
SNORD151	NR_145813.1	1	1
LINC01447	NR_108090.1	1	1
C7orf65	NM_001123065.1	1	1
LINC00525	NR_038407.1	1	1
PKD1L1	NM_138295.4	1	1
ABCA13	NM_152701.5	1	1
CDC14C	NM_152627.3	1	1
SPATA48	NM_001161834.3	1	1
DDC-AS1	NR_033845.1	1	1
LOC107986794	NR_157843.1	1	1
POM121L12	NM_182595.4	1	1
LINC01446	NR_038371.1	1	1
LOC100996654	NR_110040.1	1	1
EGFR-AS1	NR_047551.1	1	1
ELDR	NR_110426.1	1	1
LANCL2	NM_018697.3	1	1
SEPTIN14	NM_207366.3	1	1
MRPS17	NM_015969.3	1	1
SNORA22B	NR_145724.1	1	1
SNORA15	NR_002957.1	1	1
NUPR2	NM_001145712.2	1	1
LOC650226	NR_029420.1	1	1
LOC100240728	NR_108095.1	1	1
DKFZp434L192	NR_026929.1	1	1
LOC101928401	NR_108099.1	1	1
LOC401357	NR_130727.1	1	1
LOC100130849	NR_038450.1	1	1
MIR4283-1	NR_036246.1	1	1
GUSBP10	NR_030766.1	1	1
LOC105375297	NR_136269.1	1	1
LOC100653233	NR_120505.1	1	1
MIR3147	NR_036102.1	1	1
ZNF716	NM_001159279.1	1	1
ZNF733P	NR_003952.1	1	1
LOC102724738	NR_136256.1	1	1
LOC100287704	NR_028348.1	1	1
LOC100287834	NR_028349.1	1	1
MIR4283-2	NR_036270.1	1	1
ZNF722P	NR_145488.1	1	1
LINC01005	NR_039987.1	1	1
ZNF727	NM_001159522.3	1	1
ZNF735	NM_001159524.1	1	1
ZNF679	NM_153363.3	1	1
YWHAEP1	NR_029404.1	1	1
LOC100128885	NR_077227.1	1	1
LOC641746	NR_033245.1	1	1
MIR6839	NR_106898.1	1	1
CCT6P3	NR_033416.1	1	1
SNORA22C	NR_145729.1	1	1
SNORA15B-1	NR_145716.1	1	1
INTS4P2	NR_027392.2	1	1
CCT6P1	NR_003110.2	1	1
SNORA22	NR_002961.1	1	1
SNORA15B-2	NR_145713.1	1	1
TPST1	NM_003596.4	1	1
LINC00174	NR_026873.1	1	1
GTF2IRD1P1	NR_003934.1	1	1
GTF2IP23	NR_135738.1	1	1
LINC02604	NR_136637.1	1	1
TMEM248	NM_017994.5	1	1
SBDS	NM_016038.4	1	1
MIR4650-1	NR_039793.1	1	1
LINC01372	NR_108104.1	1	1
LOC102723427	NR_120514.1	1	1
GALNT17	NM_022479.3	1	1
MIR3914-1	NR_037477.1	1	1
MIR3914-2	NR_037479.1	1	1
TYW1B	NM_001145440.3	1	1
MIR4650-2	NR_039794.1	1	1
SPDYE7P	NR_003666.2	1	1
NSUN5P2	NR_033323.3	1	1
LOC100101148	NR_104007.1	1	1
STAG3L3	NR_040582.2	1	1
PMS2P7	NR_130940.1	1	1
SPDYE8P	NR_003664.2	1	1
SPDYE10P	NR_146079.1	1	1
GTF2IP4	NR_003580.2	1	1
NCF1B	NR_003186.1	1	1
FZD9	NM_003508.3	1	1
VPS37D	NM_001077621.2	1	1
DNAJC30	NM_032317.3	1	1
MIR4284	NR_036247.1	1	1
ABHD11-AS1	NR_026690.1	1	1
CLDN3	NM_001306.4	1	1
CLDN4	NM_001305.4	1	1
METTL27	NM_152559.3	1	1
TMEM270	NM_182504.4	1	1
MIR590	NR_030321.1	1	1
MIR10525	NR_162116.1	1	1
LOC101926943	NR_110044.1	1	1
NCF1	NM_000265.6	1	1
STAG3L2	NR_040584.2	1	1
CASTOR2	NM_001145064.3	1	1
NCF1C	NR_003187.3	1	1
GTF2IP1	NR_002206.3	1	1
SPDYE13P	NR_146073.1	1	1
SPDYE14P	NR_146072.1	1	1
SPDYE15P	NR_146074.1	1	1
PMS2P2	NR_003614.3	1	1
STAG3L1	NR_040583.2	1	1
LOC541473	NR_003602.3	1	1
TRIM73	NM_198924.3	1	1
SPDYE5	NM_001306141.1	1	1
PMS2P3	NR_028059.1	1	1
MIR4651	NR_039795.1	1	1
SNORA14A	NR_002955.1	1	1
GTF2IP7	NR_135079.1	1	1
HSPB1	NM_001540.5	1	1
YWHAG	NM_012479.4	1	1
SSC4D	NM_080744.2	1	1
FDPSP2	NR_003262.1	1	1
UPK3B	NM_001347684.2	1	1
SPDYE16	NM_001351597.1	1	1
LOC100133091	NR_029411.1	1	1
DTX2P1-UPK3BP1-PMS2P11	NR_023383.1	1	1
SPDYE17	NM_001351351.1	1	1
PMS2P9	NR_028058.1	1	1
SPDYE18	NM_001351348.1	1	1
FAM185BP	NR_146190.1	1	1
CCDC146	NM_020879.3	1	1
FGL2	NM_006682.3	1	1
LOC101927243	NR_110073.1	1	1
RSBN1L	NM_198467.3	1	1
TMEM60	NM_032936.4	1	1
RPL13AP17	NR_003680.1	1	1
MAGI2-AS2	NR_046689.1	1	1
LOC101927269	NR_110075.1	1	1
GNAT3	NM_001102386.3	1	1
LOC105369146	NR_136264.1	1	1
SEMA3A	NM_006080.3	1	1
SEMA3D	NM_152754.2	1	1
LINC00972	NR_134240.1	1	1
TP53TG1	NR_015381.1	1	1
SLC25A40	NM_018843.4	1	1
LOC102723885	NR_120517.1	1	1
ZNF804B	NM_181646.5	1	1
TEX47	NM_152706.4	1	1
STEAP2-AS1	NR_110029.2	1	1
DPY19L2P4	NR_003551.1	1	1
STEAP1	NM_012449.3	1	1
LOC101927446	NR_110085.1	1	1
LOC101409256	NR_102424.1	1	1
LOC102723899	NM_001365443.2	1	1
FZD1	NM_003505.2	1	1
LRRD1	NM_001161528.1	1	1
MIR1285-1	NR_031616.1	1	1
ANKIB1	NM_019004.2	1	1
TMBIM7P	NR_145992.1	1	1
MIR653	NR_030388.1	1	1
MIR489	NR_030164.1	1	1
MIR4652	NR_039796.1	1	1
LOC105375401	NR_134235.1	1	1
GNG11	NM_004126.4	1	1
COL1A2-AS1	NR_147206.1	1	1
COL1A2	NM_000089.4	1	1
PON1	NM_000446.7	1	1
PON3	NM_000940.3	1	1
PDK4	NM_002612.4	1	1
MIR591	NR_030322.1	1	1
DLX6-AS1	NR_015448.1	1	1
DLX6	NM_005222.4	1	1
DLX5	NM_005221.6	1	1
SDHAF3	NM_020186.3	1	1
MIR5692A1	NR_049875.1	1	1
MIR5692C2	NR_049868.1	1	1
OCM2	NM_006188.3	1	1
LMTK2	NM_014916.4	1	1
BHLHA15	NM_177455.3	1	1
TECPR1	NM_015395.3	1	1
BAIAP2L1	NM_018842.5	1	1
NPTX2	NM_002523.3	1	1
KPNA7	NM_001145715.2	1	1
MYH16	NR_002147.2	1	1
ARPC1B	NM_005720.4	1	1
PDAP1	NM_014891.7	1	1
FAM200A	NM_145111.4	1	1
OR2AE1	NM_001005276.1	1	1
GJC3	NM_181538.3	1	1
AZGP1	NM_001185.4	1	1
AZGP1P1	NR_036679.1	1	1
COPS6	NM_006833.5	1	1
MIR25	NR_029498.1	1	1
MIR93	NR_029510.1	1	1
MIR106B	NR_029831.1	1	1
CNPY4	NM_152755.2	1	1
MBLAC1	NM_203397.3	1	1
GAL3ST4	NM_024637.5	1	1
GPC2	NM_152742.3	1	1
PVRIG	NM_024070.3	1	1
SPDYE3	NM_001004351.5	1	1
PMS2P1	NR_003613.1	1	1
MIR6840	NR_106899.1	1	1
C7orf61	NM_001004323.3	1	1
NYAP1	NM_173564.4	1	1
AGFG2	NM_006076.5	1	1
PCOLCE-AS1	NR_038910.1	1	1
PCOLCE	NM_002593.4	1	1
LOC105375429	NR_133946.1	1	1
GNB2	NM_005273.4	1	1
GIGYF1	NM_022574.5	1	1
POP7	NM_005837.3	1	1
EPO	NM_000799.4	1	1
EPHB4	NM_004444.5	1	1
SLC12A9-AS1	NR_146550.1	1	1
TRIP6	NM_003302.3	1	1
MIR6875	NR_106935.1	1	1
UFSP1	NM_001015072.4	1	1
MUC3A	NM_005960.2	1	1
MUC12	NM_001164462.1	1	1
TRIM56	NM_030961.3	1	1
SERPINE1	NM_000602.5	1	1
AP1S1	NM_001283.5	1	1
MIR4653	NR_039797.1	1	1
VGF	NM_003378.4	1	1
PLOD3	NM_001084.5	1	1
ZNHIT1	NM_006349.3	1	1
FIS1	NM_016068.3	1	1
LNCPRESS1	NR_146480.1	1	1
EMSLR	NR_110115.2	1	1
MYL10	NM_138403.5	1	1
SPDYE6	NM_001146210.4	1	1
MIR548O	NR_031669.1	1	1
ALKBH4	NM_017621.4	1	1
MIR4467	NR_039677.1	1	1
SPDYE2	NM_001031618.3	1	1
SPDYE2B	NM_001166339.1	1	1
RASA4DP	NR_146066.1	1	1
NFE4	NM_001085386.2	1	1
RPL19P12	NR_026660.1	1	1
PMPCB	NM_004279.3	1	1
LOC101927870	NR_110141.1	1	1
LHFPL3	NM_199000.2	1	1
LHFPL3-AS2	NR_027374.1	1	1
LINC01004	NR_039981.2	1	1
KMT2E-AS1	NR_024586.1	1	1
NAMPT	NM_005746.3	1	1
CCDC71L	NM_175884.6	1	1
PRKAR2B	NM_002736.3	1	1
GPR22	NM_005295.3	1	1
SLC26A4-AS1	NR_028137.1	1	1
SLC26A4	NM_000441.2	1	1
SLC26A3	NM_000111.3	1	1
LAMB1	NM_002291.3	1	1
DNAJB9	NM_012328.3	1	1
C7orf66	NM_001024607.2	1	1
EIF3IP1	NR_003024.1	1	1
DOCK4-AS1	NR_103806.1	1	1
ZNF277	NM_021994.3	1	1
LOC101928012	NR_110158.1	1	1
BMT2	NM_152556.3	1	1
HRAT17	NR_110162.1	1	1
PPP1R3A	NM_002711.4	1	1
MIR3666	NR_037439.1	1	1
LINC01393	NR_120521.1	1	1
LINC01392	NR_126407.1	1	1
SNORA25B	NR_145801.1	1	1
LINC01510	NR_120506.1	1	1
CAPZA2	NM_006136.3	1	1
ST7-AS1	NR_002330.1	1	1
ST7-OT4	NR_002329.2	1	1
CFTR	NM_000492.4	1	1
CFTR-AS1	NR_149084.1	1	1
LSM8	NM_016200.5	1	1
ANKRD7	NM_019644.4	1	1
KCND2	NM_012281.3	1	1
TSPAN12	NM_012338.4	1	1
AASS	NM_005763.4	1	1
FEZF1-AS1	NR_036484.1	1	1
RNF133	NM_139175.2	1	1
RNF148	NM_198085.2	1	1
TAS2R16	NM_016945.3	1	1
ASB15-AS1	NR_111922.1	1	1
LMOD2	NM_207163.3	1	1
WASL	NM_003941.4	1	1
HYAL6P	NR_002731.1	1	1
HYAL4	NM_012269.3	1	1
LOC105375483	NR_133947.1	1	1
TMEM229A	NM_001136002.2	1	1
LOC101928211	NR_110180.1	1	1
GPR37	NM_005302.5	1	1
C7orf77	NM_001024603.2	1	1
LOC101928283	NR_110188.1	1	1
MIR592	NR_030323.1	1	1
ZNF800	NM_176814.5	1	1
LOC100506682	NR_110024.1	1	1
GCC1	NM_024523.6	1	1
ARF5	NM_001662.4	1	1
FSCN3	NM_020369.3	1	1
SND1	NM_014390.4	1	1
SND1-IT1	NR_027330.1	1	1
LRRC4	NM_022143.5	1	1
MIR593	NR_030324.1	1	1
MIR129-1	NR_029596.1	1	1
LEP	NM_000230.3	1	1
METTL2B	NM_018396.2	1	1
LINC01000	NR_024368.1	1	1
OPN1SW	NM_001708.2	1	1
FLNC-AS1	NR_149055.1	1	1
ATP6V1FNB	NM_001195150.3	1	1
TPI1P2	NR_002187.3	1	1
LOC407835	NR_002144.1	1	1
TSPAN33	NM_178562.5	1	1
SMO	NM_005631.5	1	1
SMKR1	NM_001195243.2	1	1
MIR182	NR_029614.1	1	1
MIR96	NR_029512.1	1	1
MIR183	NR_029615.1	1	1
KLHDC10	NM_014997.4	1	1
SSMEM1	NM_145268.4	1	1
CPA2	NM_001869.3	1	1
LOC105375504	NR_133928.1	1	1
CPA1	NM_001868.4	1	1
MESTIT1	NR_004382.1	1	1
MIR335	NR_029899.1	1	1
KLF14	NM_138693.3	1	1
MIR29A	NR_029503.1	1	1
MIR29B1	NR_029517.1	1	1
LINC00513	NR_109780.1	1	1
MKLN1-AS	NR_125364.1	1	1
LOC101928782	NR_110836.1	1	1
LOC101928807	NR_134565.1	1	1
FLJ40288	NR_046323.1	1	1
LOC100506937	NR_134332.1	1	1
MIR3654	NR_037427.1	1	1
LOC105375512	NR_133931.1	1	1
MIR6133	NR_106749.1	1	1
LOC101928861	NR_120513.1	1	1
SLC35B4	NM_032826.5	1	1
AKR1B10	NM_020299.5	1	1
TMEM140	NM_018295.5	1	1
MIR6509	NR_106764.1	1	1
STRA8	NM_182489.2	1	1
STMP1	NM_001130929.2	1	1
LOC349160	NR_046103.1	1	1
MIR490	NR_030165.1	1	1
CREB3L2-AS1	NR_161346.1	1	1
MIR4468	NR_039678.1	1	1
TMEM213	NM_001085429.2	1	1
ZC3HAV1L	NM_080660.4	1	1
UBN2	NM_173569.4	1	1
LOC100129148	NR_033999.1	1	1
KLRG2	NM_198508.4	1	1
KDM7A	NM_030647.2	1	1
KDM7A-DT	NR_024451.1	1	1
RAB19	NM_001008749.3	1	1
ADCK2	NM_052853.4	1	1
NDUFB2-AS1	NR_024454.1	1	1
NDUFB2	NM_004546.3	1	1
TMEM178B	NM_001195278.2	1	1
DENND11	NM_001080392.2	1	1
WEE2-AS1	NR_015392.1	1	1
WEE2	NM_001105558.1	1	1
TAS2R3	NM_016943.2	1	1
TAS2R4	NM_016944.1	1	1
TAS2R5	NM_018980.3	1	1
OR9A4	NM_001001656.2	1	1
TAS2R38	NM_176817.5	1	1
MGAM2	NM_001293626.2	1	1
MOXD2P	NR_024346.3	1	1
PRSS58	NM_001001317.5	1	1
TRY2P	NR_036483.2	1	1
MIR11400	NR_162121.1	1	1
